id=2214257545	YouTube精选	http://weibo.com/youtube VM33997:8
id=2279690255	电影蜀黍	http://weibo.com/xihadongtaitu VM33997:8
id=1645011952	电影资讯频道	http://weibo.com/movieinformation VM33997:8
id=1848090933	台词丶音乐丶电影	http://weibo.com/worldcinema VM33997:8
id=1822375375	电影热映	http://weibo.com/movienowplaying VM33997:8
id=1985375991	电影的力量	http://weibo.com/film35 VM33997:8
id=2440774751	走过心间的台词	http://weibo.com/u/2440774751 VM33997:8
id=2424704143	周易那点事儿	http://weibo.com/u/2424704143 VM33997:8
id=1898596717	中国电影导演协会	http://weibo.com/daoyanxiehui VM33997:8
id=2215605707	最火热电影	http://weibo.com/u/2215605707 VM33997:8
id=1623886424	新浪电影	http://weibo.com/film VM33997:8
id=1933343853	电影集中营	http://weibo.com/u/1933343853 VM33997:8
id=1855790127	电影世界	http://weibo.com/moviefansclub VM33997:8
id=1757353251	电影工厂	http://weibo.com/moviefactory VM33997:8
id=1663735900	时光网Mtime	http://weibo.com/movietime VM33997:8
id=3859197620	热血男人帮	http://weibo.com/u/3859197620 VM33997:8
id=2368696640	影视音乐热门榜	http://weibo.com/u/2368696640 VM33997:8
id=2215605707	最火热电影	http://weibo.com/u/2215605707 VM33997:8
id=1985551380	全球电影收录	http://weibo.com/filmtime VM33997:8
id=1832444080	经典-电影-台词	http://weibo.com/idianying VM33997:8
id=2455062604	看微博高清电影	http://weibo.com/u/2455062604 VM33997:8
id=1663735900	时光网Mtime	http://weibo.com/movietime VM33997:8
id=1898596717	中国电影导演协会	http://weibo.com/daoyanxiehui VM33997:8
id=2427940370	每日高清电影	http://weibo.com/werhappy VM33997:8
id=2093494055	顶尖微电影	http://weibo.com/u/2093494055 VM33997:8
id=1985375991	电影的力量	http://weibo.com/film35 VM33997:8
id=2146827183	一部电影一句经典	http://weibo.com/aimovie VM33997:8
id=2154597573	电影味道	http://weibo.com/u/2154597573 VM33997:8
id=1985375991	电影的力量	http://weibo.com/film35 VM33997:8
id=2206724733	搜狐电影	http://weibo.com/sohumovie VM33997:8
id=1635270132	1905电影网官博	http://weibo.com/cctv6m1905 VM33997:8
id=1769684987	看电影周刊	http://weibo.com/movieview VM33997:8
id=1757353251	电影工厂	http://weibo.com/moviefactory VM33997:8
id=1843443790	精彩电影	http://weibo.com/wonderfulmovie VM33997:8
id=2535267903	V电影	http://weibo.com/vmovier VM33997:8
id=2455062604	看微博高清电影	http://weibo.com/u/2455062604 VM33997:8
id=1848090933	台词丶音乐丶电影	http://weibo.com/worldcinema VM33997:8
id=1885695252	全球电影榜	http://weibo.com/movietop VM33997:8
id=1866497373	韩国电影振兴委员会	http://weibo.com/kofic VM33997:8
id=2427940370	每日高清电影	http://weibo.com/werhappy VM33997:8
id=1771123430	豆瓣电影	http://weibo.com/doubanfilm VM33997:8
id=1776723323	IMAX	http://weibo.com/imax VM33997:8
id=2995756840	全球电影资讯网	http://weibo.com/glofilm VM33997:8
id=1757437575	电影全搜罗	http://weibo.com/dsssdr VM34350:8
id=2714190874	电影榜上榜	http://weibo.com/u/2714190874 VM34350:8
id=1985551380	全球电影收录	http://weibo.com/filmtime VM34350:8
2
id=2143550005	微影迷	http://weibo.com/weimoviefan VM34350:8
id=2535267903	V电影	http://weibo.com/vmovier VM34350:8
id=1927364167	乐视电影	http://weibo.com/letvmovie VM34350:8
id=1985375991	电影的力量	http://weibo.com/film35 VM34350:8
id=2215605707	最火热电影	http://weibo.com/u/2215605707 VM34350:8
id=3174028443	烂番茄影评	http://weibo.com/rottentomato VM34350:8
id=2279690255	电影蜀黍	http://weibo.com/xihadongtaitu VM34350:8
id=1769684987	看电影周刊	http://weibo.com/movieview VM34350:8
id=1663735900	时光网Mtime	http://weibo.com/movietime VM34350:8
id=1776723323	IMAX	http://weibo.com/imax VM34350:8
id=2714190874	电影榜上榜	http://weibo.com/u/2714190874 VM34350:8
id=2215605707	最火热电影	http://weibo.com/u/2215605707 VM34350:8
id=2356263705	最热高清电影	http://weibo.com/u/2356263705 VM34350:8
id=1855790127	电影世界	http://weibo.com/moviefansclub VM34350:8
id=1774057801	500部值得珍藏的电影	http://weibo.com/historical VM34350:8
id=2215605707	最火热电影	http://weibo.com/u/2215605707 VM34350:8
id=1663735900	时光网Mtime	http://weibo.com/movietime VM34350:8
id=2427940370	每日高清电影	http://weibo.com/werhappy VM34350:8
id=1227467604	亵渎电影	http://weibo.com/zhangzongqian VM34350:8
id=1682804733	彭浩翔	http://weibo.com/panghocheung VM34350:8
id=1227467604	亵渎电影	http://weibo.com/zhangzongqian VM34350:8
2
id=1769684987	看电影周刊	http://weibo.com/movieview VM34350:8
id=1227467604	亵渎电影	http://weibo.com/zhangzongqian VM34350:8
id=1985551380	全球电影收录	http://weibo.com/filmtime VM34350:8
id=1898596717	中国电影导演协会	http://weibo.com/daoyanxiehui VM34350:8
id=1822354483	电影圈	http://weibo.com/moviebiz VM34350:8
id=1843443790	精彩电影	http://weibo.com/wonderfulmovie VM34350:8
id=2424704143	周易那点事儿	http://weibo.com/u/2424704143 VM34350:8
id=1757353251	电影工厂	http://weibo.com/moviefactory VM34350:8
id=2143550005	微影迷	http://weibo.com/weimoviefan VM34350:8
id=2146827183	一部电影一句经典	http://weibo.com/aimovie VM34350:8
id=1407722902	直桃桃淘电影	http://weibo.com/qijiuziyue VM34350:8
id=1832444080	经典-电影-台词	http://weibo.com/idianying VM34350:8
id=1635270132	1905电影网官博	http://weibo.com/cctv6m1905 VM34350:8
id=1757353251	电影工厂	http://weibo.com/moviefactory VM34350:8
id=1762436132	热电影	http://weibo.com/zuijiaomovie VM34350:8
id=2143550005	微影迷	http://weibo.com/weimoviefan VM34350:8
id=2154597573	电影味道	http://weibo.com/u/2154597573 VM34350:8
id=1154814462	靠谱影评	http://weibo.com/kaopuyingping VM34350:8
id=2279690255	电影蜀黍	http://weibo.com/xihadongtaitu VM34576:8
